strategy,rebalance_policy,cycle_days,date,interval,return,equity
btc_hodl,buy_and_hold,,2025-03-01,1,0.0004418202996313707,1.0004418202996315
btc_hodl,buy_and_hold,,2025-03-01,2,0.002633691986511388,1.0030766759047254
btc_hodl,buy_and_hold,,2025-03-01,3,-0.001465547618285193,1.0016066192713957
btc_hodl,buy_and_hold,,2025-03-01,4,-0.002678750451135802,0.9989235650881619
btc_hodl,buy_and_hold,,2025-03-01,5,-0.0024205675869103317,0.9965056030847086
btc_hodl,buy_and_hold,,2025-03-01,6,-0.0032970576380485965,0.9932200666747
btc_hodl,buy_and_hold,,2025-03-01,7,0.0018036088352563027,0.9950114471623083
btc_hodl,buy_and_hold,,2025-03-01,8,0.0016792611251022801,0.9966823312045596
btc_hodl,buy_and_hold,,2025-03-01,9,-0.002240634470306866,0.9944491304173169
btc_hodl,buy_and_hold,,2025-03-01,10,0.002706108535148427,0.9971402176969102
btc_hodl,buy_and_hold,,2025-03-01,11,0.005212319441870939,1.0023376310398833
btc_hodl,buy_and_hold,,2025-03-01,12,0.002107777136627118,1.0044503353817702
btc_hodl,buy_and_hold,,2025-03-01,13,-0.0010956581546545615,1.0033498011808637
btc_hodl,buy_and_hold,,2025-03-01,14,0.0025219772301488504,1.0058802265333162
btc_hodl,buy_and_hold,,2025-03-01,15,0.006708354296940547,1.0126280274731885
btc_hodl,buy_and_hold,,2025-03-01,16,0.0041489167598786104,1.016829336867895
btc_hodl,buy_and_hold,,2025-03-01,17,0.002765049770895316,1.0196409205928412
btc_hodl,buy_and_hold,,2025-03-01,18,-0.0022689671472474852,1.017327388842027
btc_hodl,buy_and_hold,,2025-03-01,19,-0.0018951058890415411,1.015399445716349
btc_hodl,buy_and_hold,,2025-03-01,20,-0.00037182955965845115,1.015021890187571
btc_hodl,buy_and_hold,,2025-03-01,21,-0.0008230778362541625,1.0141864481664449
btc_hodl,buy_and_hold,,2025-03-01,22,0.005932626276228504,1.020203237337832
btc_hodl,buy_and_hold,,2025-03-01,23,-0.0008031496063009481,1.0193838615094173
btc_hodl,buy_and_hold,,2025-03-01,24,0.0005437437942298972,1.0199381451580511
btc_hodl,buy_and_hold,,2025-03-01,25,0.0019926437578264415,1.0219705185363694
btc_hodl,buy_and_hold,,2025-03-01,26,0.005250746737932223,1.027336626902837
btc_hodl,buy_and_hold,,2025-03-01,27,0.000852308269736861,1.0282122344057498
btc_hodl,buy_and_hold,,2025-03-01,28,0.006273584537137061,1.034662810780413
btc_hodl,buy_and_hold,,2025-03-01,29,-0.0020341614906820636,1.0325581395348826
btc_hodl,buy_and_hold,,2025-03-01,30,0.0005912648399680613,1.0331686548580123
btc_hodl,buy_and_hold,,2025-03-01,31,-0.000995226025160336,1.0321404185243177
btc_hodl,buy_and_hold,,2025-03-01,32,-0.004553025232320641,1.0274410571554786
btc_hodl,buy_and_hold,,2025-03-01,33,-0.0018295400348684588,1.025561312607945
btc_hodl,buy_and_hold,,2025-03-01,34,-0.00034464661972418527,1.0252078563682347
btc_hodl,buy_and_hold,,2025-03-01,35,-0.0038629400656613106,1.021247539864239
btc_hodl,buy_and_hold,,2025-03-01,36,-0.0009439156768667801,1.0202835683013995
btc_hodl,buy_and_hold,,2025-03-01,37,0.0015746791591222287,1.0218901875727986
btc_hodl,buy_and_hold,,2025-03-01,38,-0.005581322223096132,1.0161866891593347
btc_hodl,buy_and_hold,,2025-03-01,39,-0.0009960474308282614,1.0151745190183556
btc_hodl,buy_and_hold,,2025-03-01,40,-0.0008783452292427388,1.014282845322727
btc_hodl,buy_and_hold,,2025-03-01,41,-0.00022967932014938776,1.0140498855283742
btc_hodl,buy_and_hold,,2025-03-01,42,0.0018299348828371862,1.0159055307868397
btc_hodl,buy_and_hold,,2025-03-01,43,-0.0023563831890225525,1.0135116680724585
btc_hodl,buy_and_hold,,2025-03-01,44,-0.0008005262865896291,1.0127003253404012
btc_hodl,buy_and_hold,,2025-03-01,45,-0.0010787999936535705,1.011607824235851
btc_hodl,buy_and_hold,,2025-03-01,46,-0.0035813547208775514,1.0079848977788473
btc_hodl,buy_and_hold,,2025-03-01,47,0.002358960463503889,1.0103626943005166
btc_hodl,buy_and_hold,,2025-03-01,48,-0.0025760286225397235,1.0077599710808522
btc_hodl,buy_and_hold,,2025-03-01,49,0.005181305848496845,1.0129814837128945
btc_hodl,buy_and_hold,,2025-03-01,50,0.0023156041585717362,1.0153271478491361
btc_hodl,buy_and_hold,,2025-03-01,51,0.0008544777005050796,1.0161947222556906
btc_hodl,buy_and_hold,,2025-03-01,52,7.905075849512151e-05,1.0162750532192637
btc_hodl,buy_and_hold,,2025-03-01,53,0.00037150919682660244,1.01665260874804
btc_hodl,buy_and_hold,,2025-03-01,54,0.0019674773621572396,1.01865284974093
btc_hodl,buy_and_hold,,2025-03-01,55,0.00044950199910354294,1.019110736233281
btc_hodl,buy_and_hold,,2025-03-01,56,0.0010247193845356565,1.0201550387596876
btc_hodl,buy_and_hold,,2025-03-01,57,0.0007874387766364134,1.0209583483953881
btc_hodl,buy_and_hold,,2025-03-01,58,-0.0028325491368600343,1.0180664337068708
btc_hodl,buy_and_hold,,2025-03-01,59,1.578108479189137e-05,1.0180824998995848
btc_hodl,buy_and_hold,,2025-03-01,60,0.0007259184446413636,1.0188215447644284
btc_hodl,buy_and_hold,,2025-03-01,61,-0.003461380767652495,1.0152950154637108
btc_hodl,buy_and_hold,,2025-03-01,62,-0.0007516476908604327,1.0145318713097955
btc_hodl,buy_and_hold,,2025-03-01,63,0.0017815573186362363,1.016339317990117
